Order_ID,Date,Customer_ID,Category,Product,Price,Quantity,Discount,Profit
1,2023-01-01,4174,Groceries,Jacket,117.82,5,0.02,468.58
2,2023-01-02,4507,Furniture,Laptop,722.01,1,0.33,198.93
3,2023-01-03,1860,Furniture,Laptop,502.8,3,0.26,225.04
4,2023-01-04,2294,Furniture,Chair,894.63,3,0.41,478.71
5,2023-01-05,2130,Electronics,Sofa,920.27,4,0.15,202.15
6,2023-01-06,2095,Groceries,Sofa,59.88,6,0.41,226.95
7,2023-01-07,4772,Clothing,Sofa,821.54,5,0.21,132.74
8,2023-01-08,4092,Clothing,Headphones,,1,0.05,-32.6
9,2023-01-09,2638,Groceries,Bananas,370.33,6,0.49,188.18
10,2023-01-10,3169,Furniture,Sofa,544.59,9,0.26,310.3
11,2023-01-11,1466,Clothing,Bananas,152.36,1,0.31,329.47
12,2023-01-12,2238,Clothing,Chair,747.58,8,0.34,-46.42
13,2023-01-13,1330,Groceries,Jacket,,8,0.18,390.58
14,2023-01-14,2482,Clothing,Sofa,172.76,3,0.37,220.83
15,2023-01-15,3135,Furniture,Chair,582.89,9,0.44,236.41
16,2023-01-16,4444,Groceries,Sofa,715.82,8,0.19,478.96
17,2023-01-17,4171,Furniture,Laptop,917.06,3,0.33,106.45
18,2023-01-18,3919,Clothing,T-shirt,706.97,5,0.38,368.91
19,2023-01-19,4735,Clothing,Chair,673.42,3,0.1,266.13
20,2023-01-20,1130,Furniture,Sofa,397.37,5,0.17,335.44
21,2023-01-21,2685,Electronics,Apples,6.28,9,0.05,179.8
22,2023-01-22,4380,Clothing,T-shirt,124.56,4,0.3,103.56
23,2023-01-23,1769,Electronics,Chair,536.88,6,0.4,250.37
24,2023-01-24,3391,Clothing,Apples,676.75,3,0.31,156.22
25,2023-01-25,2515,Electronics,Apples,420.36,3,0.09,72.6
26,2023-01-26,4485,Electronics,Headphones,732.03,5,0.27,411.58
27,2023-01-27,3853,Electronics,Apples,524.25,8,0.42,211.71
28,2023-01-28,3433,Furniture,Sofa,78.81,8,0.15,416.02
29,2023-01-29,2215,Electronics,Headphones,196.06,3,0.42,210.72
30,2023-01-30,1955,Electronics,Laptop,840.8,8,0.39,256.24
31,2023-01-31,3324,Electronics,Sofa,726.29,8,0.01,497.4
32,2023-02-01,2184,Clothing,Jacket,895.29,3,0.12,473.33
33,2023-02-02,1459,Electronics,Apples,121.97,2,0.27,99.43
34,2023-02-03,4385,Clothing,Laptop,990.27,2,0.36,427.76
35,2023-02-04,1021,Electronics,T-shirt,213.36,9,0.44,164.72
36,2023-02-05,3300,Electronics,Chair,16.72,7,0.32,-10.81
37,2023-02-06,1747,Furniture,Apples,997.44,6,0.19,266.68
38,2023-02-07,3904,Clothing,Bananas,,7,0.09,487.38
39,2023-02-08,4632,Electronics,Laptop,,8,0.38,485.87
40,2023-02-09,1474,Clothing,Bananas,180.8,1,0.1,19.56
41,2023-02-10,2082,Clothing,Apples,582.33,8,0.35,374.18
42,2023-02-11,3558,Groceries,Bananas,,3,0.09,391.56
43,2023-02-12,4753,Furniture,Apples,323.58,3,0.05,152.81
44,2023-02-13,3047,Furniture,Chair,671.9,6,0.13,312.23
45,2023-02-14,4547,Furniture,T-shirt,191.96,4,0.14,218.49
46,2023-02-15,3747,Groceries,Chair,626.67,4,0.32,75.34
47,2023-02-16,1975,Groceries,Sofa,339.77,4,0.08,368.7
48,2023-02-17,2806,Furniture,Laptop,215.15,9,0.47,94.51
49,2023-02-18,1189,Groceries,Bananas,316.62,8,0.28,137.25
50,2023-02-19,4005,Groceries,Chair,182.95,3,0.25,54.51
51,2023-02-20,3734,Groceries,Apples,902.41,1,0.22,345.6
52,2023-02-21,4005,Furniture,Chair,400.2,1,0.28,202.3
53,2023-02-22,1562,Furniture,Chair,249.05,1,0.01,193.86
54,2023-02-23,2899,Furniture,Laptop,451.17,4,0.5,
55,2023-02-24,4638,Groceries,T-shirt,323.93,6,0.28,36.49
56,2023-02-25,2267,Furniture,Jacket,745.7,4,0.02,443.98
57,2023-02-26,3879,Groceries,Chair,971.36,3,0.29,205.81
58,2023-02-27,2528,Electronics,Laptop,440.84,8,0.22,151.59
59,2023-02-28,4202,Groceries,Bananas,861.73,8,0.01,19.68
60,2023-03-01,4556,Clothing,Apples,568.03,6,0.46,42.37
